,RegionName,RegionID,SizeRank,Date,value
370,"Knoxville, TN",394753,64,2014-04,936
371,"Greenville, SC",394653,65,2014-04,964
372,"Ventura, CA",394952,66,2014-04,1927
373,"Allentown, PA",394318,67,2014-04,1179
374,"El Paso, TX",394561,68,2014-04,980
375,"Baton Rouge, LA",394367,69,2014-04,1074
376,"Dayton, OH",394521,70,2014-04,812
377,"McAllen, TX",394843,71,2014-04,795
378,"Columbia, SC",394486,72,2014-04,956
379,"Greensboro, NC",394648,73,2014-04,955
380,"Akron, OH",394304,74,2014-04,791
381,"North Port-Sarasota-Bradenton, FL",753906,75,2014-04,1237
382,"Little Rock, AR",394798,76,2014-04,787
383,"Stockton, CA",395134,77,2014-04,1389
384,"Charleston, SC",394457,78,2014-04,1158
385,"Syracuse, NY",395143,79,2014-04,936
386,"Colorado Springs, CO",394484,80,2014-04,1047
387,"Winston-Salem, NC",395235,81,2014-04,1078
388,"Wichita, KS",395224,82,2014-04,739
389,"Springfield, MA",395115,83,2014-04,1232
390,"Fort Myers, FL",394440,84,2014-04,990
391,"Boise City, ID",394399,85,2014-04,959
392,"Toledo, OH",395160,86,2014-04,832
393,"Madison, WI",394816,87,2014-04,1031
394,"Lakeland, FL",394766,88,2014-04,1034
395,"Ogden, UT",394931,89,2014-04,958
396,"Daytona Beach, FL",394528,90,2014-04,1002
397,"Des Moines, IA",394531,91,2014-04,1007
398,"Jackson, MS",394711,92,2014-04,1091
399,"Youngstown, OH",395245,93,2014-04,621
400,"Augusta, GA",394352,94,2014-04,914
401,"Scranton, PA",395075,95,2014-04,838
402,"Harrisburg, PA",394666,96,2014-04,979
403,"Melbourne, FL",394957,97,2014-04,954
404,"Spokane, WA",395113,99,2014-04,931
405,"Provo, UT",395006,100,2014-04,1016
406,"Killeen, TX",394746,128,2014-04,864
407,"College Station, TX",394483,192,2014-04,1223
408,United States,102001,0,2014-05,1340
409,"New York, NY",394913,1,2014-05,4767
410,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2014-05,1792
411,"Chicago, IL",394463,3,2014-05,1420
412,"Dallas-Fort Worth, TX",394514,4,2014-05,1142
413,"Philadelphia, PA",394974,5,2014-05,1341
414,"Houston, TX",394692,6,2014-05,1188
415,"Washington, DC",395209,7,2014-05,1783
416,"Miami-Fort Lauderdale, FL",394856,8,2014-05,1593
417,"Atlanta, GA",394347,9,2014-05,1093
418,"Boston, MA",394404,10,2014-05,2177
419,"San Francisco, CA",395057,11,2014-05,2287
420,"Detroit, MI",394532,12,2014-05,974
421,"Riverside, CA",395025,13,2014-05,1445
422,"Phoenix, AZ",394976,14,2014-05,973
423,"Seattle, WA",395078,15,2014-05,1402
424,"Minneapolis-St Paul, MN",394865,16,2014-05,1193
425,"San Diego, CA",395056,17,2014-05,1740
426,"St. Louis, MO",395121,18,2014-05,918
427,"Tampa, FL",395148,19,2014-05,1122
428,"Baltimore, MD",394358,20,2014-05,1449
429,"Denver, CO",394530,21,2014-05,1249
430,"Pittsburgh, PA",394982,22,2014-05,1024
