Date,Unnamed: 0,RegionName,RegionID,SizeRank,value
2014/04/01,366,"Albany, NY",394308,60,1049.0
2014/04/01,367,"Omaha, NE",394938,61,835.0
2014/04/01,368,"New Haven, CT",394908,62,1289.0
2014/04/01,369,"Bakersfield, CA",394357,63,1012.0
2014/04/01,370,"Knoxville, TN",394753,64,936.0
2014/04/01,371,"Greenville, SC",394653,65,964.0
2014/04/01,372,"Ventura, CA",394952,66,1927.0
2014/04/01,373,"Allentown, PA",394318,67,1179.0
2014/04/01,374,"El Paso, TX",394561,68,980.0
2014/04/01,375,"Baton Rouge, LA",394367,69,1074.0
2014/04/01,376,"Dayton, OH",394521,70,812.0
2014/04/01,377,"McAllen, TX",394843,71,795.0
2014/04/01,378,"Columbia, SC",394486,72,956.0
2014/04/01,379,"Greensboro, NC",394648,73,955.0
2014/04/01,380,"Akron, OH",394304,74,791.0
2014/04/01,381,"North Port-Sarasota-Bradenton, FL",753906,75,1237.0
2014/04/01,382,"Little Rock, AR",394798,76,787.0
2014/04/01,383,"Stockton, CA",395134,77,1389.0
2014/04/01,384,"Charleston, SC",394457,78,1158.0
2014/04/01,385,"Syracuse, NY",395143,79,936.0
2014/04/01,386,"Colorado Springs, CO",394484,80,1047.0
2014/04/01,387,"Winston-Salem, NC",395235,81,1078.0
2014/04/01,388,"Wichita, KS",395224,82,739.0
2014/04/01,389,"Springfield, MA",395115,83,1232.0
2014/04/01,390,"Fort Myers, FL",394440,84,990.0
2014/04/01,391,"Boise City, ID",394399,85,959.0
2014/04/01,392,"Toledo, OH",395160,86,832.0
2014/04/01,393,"Madison, WI",394816,87,1031.0
2014/04/01,394,"Lakeland, FL",394766,88,1034.0
2014/04/01,395,"Ogden, UT",394931,89,958.0
2014/04/01,396,"Daytona Beach, FL",394528,90,1002.0
2014/04/01,397,"Des Moines, IA",394531,91,1007.0
2014/04/01,398,"Jackson, MS",394711,92,1091.0
2014/04/01,399,"Youngstown, OH",395245,93,621.0
2014/04/01,400,"Augusta, GA",394352,94,914.0
2014/04/01,401,"Scranton, PA",395075,95,838.0
2014/04/01,402,"Harrisburg, PA",394666,96,979.0
2014/04/01,403,"Melbourne, FL",394957,97,954.0
2014/04/01,404,"Spokane, WA",395113,99,931.0
2014/04/01,405,"Provo, UT",395006,100,1016.0
2014/04/01,406,"Killeen, TX",394746,128,864.0
2014/04/01,407,"College Station, TX",394483,192,1223.0
2014/05/01,408,United States,102001,0,1340.0
2014/05/01,409,"New York, NY",394913,1,4767.0
2014/05/01,410,"Los Angeles-Long Beach-Anaheim, CA",753899,2,1792.0
2014/05/01,411,"Chicago, IL",394463,3,1420.0
2014/05/01,412,"Dallas-Fort Worth, TX",394514,4,1142.0
2014/05/01,413,"Philadelphia, PA",394974,5,1341.0
2014/05/01,414,"Houston, TX",394692,6,1188.0
